# Region L/R weighted fractions (A=135 deg, K=4)
# cuts: 8.0<theta_e<45.0 deg, Q2>=1.0, pLead/q>0.7, 0.25<pmiss<0.9, xB<1.2, interplane<20.0 (only in 3-detected case); kF=0.25
plot                         frac_L     frac_R
3N_noFSI_detect3             0.0588     0.0701
2N_FSI_detect3               0.0246     0.0190
2N_noFSI_detect2             0.0000     0.0710
3N_FSI_detect2               0.2111     0.0346
2N_FSI_detect2               0.0009     0.0622
3N_FSI_detect3               0.0459     0.0444
MFglobal_FSI_detect2         0.0000     0.0972
MFglobal_FSI_detect3         0.0154     0.0136
